time,L_FA_w,L_FA_x,L_FA_y,L_FA_z,R_FA_w,R_FA_x,R_FA_y,R_FA_z,CHEST_w,CHEST_x,CHEST_y,CHEST_z,event
327.504673,-0.003482,0.001161,0.999992,-0.001741,
327.511800,-0.003482,0.001161,0.999992,-0.001741,
327.518888,-0.003482,0.001161,0.999992,-0.001741,
327.527938,-0.003482,0.001161,0.999992,-0.001741,
327.550332,-0.003482,0.001161,0.999992,-0.001741,
327.557762,-0.003482,0.001161,0.999992,-0.001741,
327.565000,-0.003482,0.001161,0.999992,-0.001741,
327.572042,-0.006687,0.002060,0.999975,-0.001204,
327.583184,-0.006687,0.002060,0.999975,-0.001204,
327.597268,-0.006687,0.002060,0.999975,-0.001204,
327.615573,-0.007965,0.002372,0.999965,-0.000855,
327.626748,-0.008538,0.002487,0.999960,-0.000626,
327.633889,-0.009050,0.002596,0.999956,-0.000442,
327.641047,-0.009050,0.002596,0.999956,-0.000442,
327.648050,-0.009050,0.002596,0.999956,-0.000442,
327.655123,-0.009050,0.002596,0.999956,-0.000442,
327.662183,-0.009050,0.002596,0.999956,-0.000442,
327.669225,-0.009050,0.002596,0.999956,-0.000442,
327.681153,-0.010696,0.002945,0.999938,0.000275,
327.695853,-0.010696,0.002945,0.999938,0.000275,
327.704255,-0.012084,0.003266,0.999921,0.000867,
327.711380,-0.012084,0.003266,0.999921,0.000867,
327.718380,-0.012084,0.003266,0.999921,0.000867,
327.729441,-0.012084,0.003266,0.999921,0.000867,
327.751435,-0.013306,0.003516,0.999904,0.001464,
327.758619,-0.013306,0.003516,0.999904,0.001464,
327.765708,-0.013306,0.003516,0.999904,0.001464,
327.772760,-0.013306,0.003516,0.999904,0.001464,
327.779725,-0.014039,0.003651,0.999893,0.001791,
327.804796,-0.014039,0.003651,0.999893,0.001791,
327.812820,-0.014039,0.003651,0.999893,0.001791,
327.820163,-0.014039,0.003651,0.999893,0.001791,
327.827470,-0.014039,0.003651,0.999893,0.001791,
327.834582,-0.014039,0.003651,0.999893,0.001791,
327.841807,-0.014039,0.003651,0.999893,0.001791,
327.848949,-0.014039,0.003651,0.999893,0.001791,
327.861351,-0.014039,0.003651,0.999893,0.001791,
327.868935,-0.014039,0.003651,0.999893,0.001791,
327.876864,-0.014039,0.003651,0.999893,0.001791,
327.883909,-0.019321,0.004588,0.999794,0.004259,
327.894983,-0.019321,0.004588,0.999794,0.004259,
327.925173,-0.019898,0.004695,0.999781,0.004517,
327.933107,-0.021268,0.004924,0.999749,0.005140,
327.940134,-0.021268,0.004924,0.999749,0.005140,
327.947152,-0.021968,0.005053,0.999731,0.005439,
327.954361,-0.021968,0.005053,0.999731,0.005439,
327.965669,-0.021968,0.005053,0.999731,0.005439,
327.976871,-0.021968,0.005053,0.999731,0.005439,
328.001067,-0.021968,0.005053,0.999731,0.005439,
328.013498,-0.021968,0.005053,0.999731,0.005439,
328.022820,-0.021968,0.005053,0.999731,0.005439,
328.029863,-0.021968,0.005053,0.999731,0.005439,
328.036921,-0.021968,0.005053,0.999731,0.005439,
328.044009,-0.021968,0.005053,0.999731,0.005439,
328.051157,-0.021968,0.005053,0.999731,0.005439,
328.062067,-0.021968,0.005053,0.999731,0.005439,
328.084671,-0.021968,0.005053,0.999731,0.005439,
328.091888,-0.021968,0.005053,0.999731,0.005439,
328.098987,-0.021968,0.005053,0.999731,0.005439,
328.106039,-0.027884,0.005989,0.999560,0.008196,
328.113052,-0.029492,0.006222,0.999506,0.008946,
328.133934,-0.030080,0.006316,0.999485,0.009243,
328.141431,-0.031635,0.006534,0.999429,0.009967,
328.148492,-0.031635,0.006534,0.999429,0.009967,
328.155517,-0.031635,0.006534,0.999429,0.009967,
328.162560,-0.031635,0.006534,0.999429,0.009967,
328.169646,-0.031635,0.006534,0.999429,0.009967,
328.182190,-0.031635,0.006534,0.999429,0.009967,
328.196265,-0.034488,0.006939,0.999317,0.011293,
328.203500,-0.035042,0.006992,0.999295,0.011539,
